Date and time,Energy per inverter | Symo 7.0-3-M (1),Energy per inverter per kWp | Symo 7.0-3-M (1),Total system
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.01.2023,11.22011,1.34212,11.22011
02.01.2023,8.11099,0.97021,8.11099
03.01.2023,8.25441,0.98737,8.25441
04.01.2023,10.13851,1.21274,10.13851
05.01.2023,3.88869,0.46515,3.88869
06.01.2023,1.45997,0.17464,1.45997
07.01.2023,3.47129,0.41523,3.47129
08.01.2023,3.43911,0.41138,3.43911
09.01.2023,3.66213,0.43805,3.66213
10.01.2023,1.03425,0.12371,1.03425
11.01.2023,1.38682,0.16589,1.38682
12.01.2023,2.52676,0.30224,2.52676
13.01.2023,4.75509,0.56879,4.75509
14.01.2023,6.40126,0.76570,6.40126
15.01.2023,3.54794,0.42439,3.54794
16.01.2023,2.61558,0.31287,2.61558
17.01.2023,2.90627,0.34764,2.90627
18.01.2023,1.63435,0.19550,1.63435
19.01.2023,0.89621,0.10720,0.89621
20.01.2023,0.0000,0.0,0.0000
21.01.2023,0.0000,0.0,0.0000
22.01.2023,0.0000,0.0,0.0000
23.01.2023,0.79587,0.09520,0.79587
24.01.2023,2.04673,0.24482,2.04673
25.01.2023,2.04586,0.24472,2.04586
26.01.2023,2.93807,0.35144,2.93807
27.01.2023,2.32008,0.27752,2.32008
28.01.2023,1.92023,0.22969,1.92023
29.01.2023,8.00249,0.95724,8.00249
30.01.2023,3.38552,0.40497,3.38552
31.01.2023,6.11340,0.73127,6.11340
01.02.2023,7.03741,0.84179,7.03741
02.02.2023,4.29457,0.51370,4.29457
03.02.2023,11.93370,1.42748,11.93370
04.02.2023,1.39953,0.16741,1.39953
05.02.2023,3.39180,0.40572,3.39180
06.02.2023,9.71292,1.16183,9.71292
07.02.2023,2.04284,0.24436,2.04284
08.02.2023,20.20628,2.41702,20.20628
09.02.2023,24.94714,2.98411,24.94714
10.02.2023,9.35548,1.11908,9.35548
11.02.2023,7.82798,0.93636,7.82798
12.02.2023,24.43440,2.92278,24.43440
13.02.2023,6.75105,0.80754,6.75105
14.02.2023,6.78365,0.81144,6.78365
15.02.2023,11.49340,1.37481,11.49340
16.02.2023,22.51490,2.69317,22.51490
17.02.2023,7.98457,0.95509,7.98457
18.02.2023,16.62973,1.98920,16.62973
19.02.2023,11.15593,1.33444,11.15593
20.02.2023,10.29012,1.23088,10.29012
21.02.2023,14.13141,1.69036,14.13141
22.02.2023,6.54737,0.78318,6.54737
23.02.2023,26.49301,3.16902,26.49301
24.02.2023,3.81772,0.45667,3.81772
25.02.2023,12.61334,1.50877,12.61334
26.02.2023,3.37680,0.40392,3.37680
27.02.2023,15.01510,1.79606,15.01510
28.02.2023,30.92335,3.69897,30.92335
01.03.2023,30.85313,3.69057,30.85313
02.03.2023,8.26972,0.98920,8.26972
03.03.2023,14.44829,1.72826,14.44829
04.03.2023,3.12535,0.37385,3.12535
05.03.2023,19.77201,2.36507,19.77201
06.03.2023,6.68897,0.80012,6.68897
07.03.2023,14.38235,1.72038,14.38235
08.03.2023,17.14902,2.05132,17.14902
09.03.2023,1.02899,0.12308,1.02899
10.03.2023,13.45536,1.60949,13.45536
11.03.2023,3.59601,0.43014,3.59601
12.03.2023,13.50277,1.61516,13.50277
13.03.2023,20.70157,2.47626,20.70157
14.03.2023,26.90009,3.21771,26.90009
15.03.2023,10.20966,1.22125,10.20966
16.03.2023,27.59276,3.30057,27.59276
17.03.2023,35.01827,4.18879,35.01827
18.03.2023,39.56094,4.73217,39.56094
19.03.2023,34.60922,4.13986,34.60922
20.03.2023,27.63904,3.30611,27.63904
21.03.2023,10.13559,1.21239,10.13559
22.03.2023,37.13082,4.44149,37.13082
23.03.2023,18.20909,2.17812,18.20909
24.03.2023,21.50912,2.57286,21.50912
25.03.2023,16.99525,2.03292,16.99525
26.03.2023,23.12650,2.76633,23.12650
27.03.2023,6.08299,0.72763,6.08299
28.03.2023,25.40495,3.03887,25.40495
29.03.2023,46.42574,5.55332,46.42574
30.03.2023,21.23565,2.54015,21.23565
31.03.2023,24.62028,2.94501,24.62028
01.04.2023,22.01993,2.63396,22.01993
02.04.2023,5.67098,0.67835,5.67098
03.04.2023,6.32460,0.75653,6.32460
04.04.2023,25.55937,3.05734,25.55937
05.04.2023,20.55320,2.45852,20.55320
06.04.2023,3.84707,0.46018,3.84707
07.04.2023,11.63721,1.39201,11.63721
08.04.2023,32.04348,3.83295,32.04348
09.04.2023,22.21353,2.65712,22.21353
10.04.2023,35.02646,4.18977,35.02646
11.04.2023,34.76274,4.15822,34.76274
12.04.2023,27.83772,3.32987,27.83772
13.04.2023,43.31403,5.18110,43.31403
14.04.2023,38.23732,4.57384,38.23732
15.04.2023,20.69743,2.47577,20.69743
16.04.2023,42.94172,5.13657,42.94172
17.04.2023,10.68145,1.27769,10.68145
18.04.2023,30.76933,3.68054,30.76933
19.04.2023,27.30884,3.26661,27.30884
20.04.2023,35.77950,4.27984,35.77950
21.04.2023,50.99878,6.10033,50.99878
22.04.2023,38.46077,4.60057,38.46077
23.04.2023,50.32207,6.01939,50.32207
24.04.2023,43.98397,5.26124,43.98397
25.04.2023,5.93943,0.71046,5.93943
26.04.2023,20.57450,2.46106,20.57450
27.04.2023,37.20895,4.45083,37.20895
28.04.2023,39.32823,4.70433,39.32823
29.04.2023,49.09714,5.87286,49.09714
30.04.2023,26.70917,3.19488,26.70917
01.05.2023,54.32180,6.49782,54.32180
02.05.2023,40.28164,4.81838,40.28164
03.05.2023,20.77346,2.48486,20.77346
04.05.2023,53.39048,6.38642,53.39048
05.05.2023,37.84040,4.52636,37.84040
06.05.2023,25.70083,3.07426,25.70083
07.05.2023,6.42512,0.76855,6.42512
08.05.2023,38.98035,4.66272,38.98035
09.05.2023,54.36329,6.50279,54.36329
10.05.2023,53.70678,6.42426,53.70678
11.05.2023,56.41079,6.74770,56.41079
12.05.2023,54.95853,6.57399,54.95853
13.05.2023,49.42322,5.91187,49.42322
14.05.2023,51.65712,6.17908,51.65712
15.05.2023,9.02183,1.07917,9.02183
16.05.2023,43.92069,5.25367,43.92069
17.05.2023,9.20793,1.10143,9.20793
