KodPP;DataOdczytu;Kierunek;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
590543520100010199;20230101;En. Czynna zbilansowana;,460;,940;,440;,980;,440;,280;,250;,180;,100;-,900;-,260;-1,950;-2,210;-1,010;-,190;,320;1,220;1,620;1,500;1,310;1,310;1,630;1,340;1,790
590543520100010199;20230102;En. Czynna zbilansowana;1,080;,560;,390;,320;,230;,180;,460;,600;,290;-,080;-,300;-,300;,340;1,420;1,320;2,180;2,270;2,310;2,010;1,930;1,730;1,090;1,220;1,320
590543520100010199;20230103;En. Czynna zbilansowana;,370;,790;,310;,320;,310;,560;,220;,750;-,470;-,340;,380;,140;-,910;-,200;,450;1,250;1,170;1,010;,880;,840;,570;,770;,980;,710
590543520100010199;20230104;En. Czynna zbilansowana;1,430;,280;,310;,370;,340;,520;,980;,690;,800;-,400;-1,110;-,830;-,070;1,890;1,120;1,380;1,190;1,320;1,250;1,140;1,180;1,180;1,390;,460
590543520100010199;20230105;En. Czynna zbilansowana;,720;,350;,190;,230;,200;,200;,500;,470;,640;,320;,280;-,580;,790;,870;,500;,910;1,040;1,890;1,890;,630;,590;,510;,550;,880
590543520100010199;20230106;En. Czynna zbilansowana;,390;,660;,130;,120;,220;,200;,280;,380;,380;,270;,270;,070;1,060;1,880;1,510;,300;,500;,320;,620;,430;,500;,530;1,000;,490
590543520100010199;20230107;En. Czynna zbilansowana;,780;,510;,580;,630;,670;,640;,670;,980;,680;,330;,560;1,590;,160;2,940;2,050;1,810;1,670;1,220;,530;,390;,410;,530;1,040;,500
590543520100010199;20230108;En. Czynna zbilansowana;1,390;,330;,270;,180;,190;,160;,380;,280;,200;-,380;-,170;-,100;,200;1,260;1,680;,950;,440;1,000;,590;,510;,730;,690;,930;,430
590543520100010199;20230109;En. Czynna zbilansowana;1,450;,550;,190;,120;,190;,390;1,260;1,030;-,350;-,560;-,220;1,060;,350;2,270;1,720;1,010;1,100;1,420;1,820;1,700;1,530;1,600;1,430;,800
590543520100010199;20230110;En. Czynna zbilansowana;,820;,820;,510;,570;,560;,500;,870;,620;,660;,540;,360;,600;1,780;2,030;1,950;,890;1,120;1,330;1,680;1,160;1,060;,750;,750;,420
590543520100010199;20230111;En. Czynna zbilansowana;,790;,190;,170;,170;,170;,130;,570;,210;,260;,680;,110;,180;,080;1,480;,660;1,230;1,580;1,510;1,730;1,930;1,670;1,690;2,080;1,440
590543520100010199;20230112;En. Czynna zbilansowana;1,220;,290;,210;,140;,190;,170;,270;,500;,190;,300;-,040;-,180;,090;,430;2,050;1,560;1,750;1,480;1,510;1,300;1,630;1,160;,600;,920
590543520100010199;20230113;En. Czynna zbilansowana;,470;,720;,240;,180;,210;,420;,410;,400;-,180;,590;,210;,790;,060;,540;,800;,780;,700;,840;,850;,880;1,300;1,280;1,650;1,270
590543520100010199;20230114;En. Czynna zbilansowana;1,410;1,170;,920;,880;,880;,840;,420;,290;-,300;,470;-,620;-,400;,140;,540;,840;1,690;2,230;1,210;,270;,400;1,150;1,250;1,430;1,200
590543520100010199;20230115;En. Czynna zbilansowana;1,570;,930;,200;,190;,160;,160;,320;,420;,060;-,100;-,280;-,170;-,280;1,720;1,410;1,510;1,440;1,340;1,070;1,300;,960;1,870;1,620;1,680
590543520100010199;20230116;En. Czynna zbilansowana;1,020;,660;,120;,120;,170;,230;,380;,200;,300;1,270;1,120;1,300;1,580;3,270;1,550;,990;,880;,860;2,070;2,140;2,110;1,590;2,170;1,630
590543520100010199;20230117;En. Czynna zbilansowana;2,450;1,590;1,000;,830;,170;,160;,160;,150;,120;1,440;,730;,670;1,210;1,900;1,950;1,400;1,600;1,690;1,230;1,170;1,540;1,420;1,960;1,560
590543520100010199;20230118;En. Czynna zbilansowana;1,250;,480;,170;,160;,170;,160;,250;,340;,310;,340;,440;,330;1,260;1,580;,600;,580;,840;,590;1,480;1,540;,850;,490;,980;,440
590543520100010199;20230119;En. Czynna zbilansowana;,820;,160;,150;,160;,160;,190;,210;,400;,260;,610;,990;1,180;1,040;2,220;1,430;1,380;,690;,880;,490;1,160;1,390;1,770;2,290;1,560
590543520100010199;20230120;En. Czynna zbilansowana;1,250;,250;,170;,210;,210;,170;,230;,580;,560;1,760;1,480;1,640;2,000;2,830;1,670;1,200;,990;,970;1,810;1,940;1,520;,900;,630;1,140
590543520100010199;20230121;En. Czynna zbilansowana;,610;,810;,250;,190;,130;,230;,140;,350;,870;1,310;,560;1,770;2,800;2,560;1,420;3,440;2,050;1,490;1,180;1,330;1,410;1,330;1,380;1,140
590543520100010199;20230122;En. Czynna zbilansowana;1,240;,480;,230;,230;,320;,280;,370;,730;1,170;1,200;1,400;1,020;1,270;1,980;2,300;1,280;1,330;1,920;1,640;1,800;1,820;2,100;1,080;1,590
590543520100010199;20230123;En. Czynna zbilansowana;1,030;,940;,810;,720;,740;,820;,710;1,660;1,740;1,670;,860;,610;,570;1,070;1,720;1,330;,860;1,620;1,510;,500;,610;1,330;1,500;1,000
590543520100010199;20230124;En. Czynna zbilansowana;,880;,190;,370;,210;,210;,190;,190;,760;1,100;,890;,660;,550;,610;1,470;,640;,470;,500;,430;,400;,860;,780;,420;,810;,290
590543520100010199;20230125;En. Czynna zbilansowana;,670;,170;,160;,150;,190;,300;,170;,500;,630;,360;,350;,440;,740;2,100;2,490;,530;,780;1,120;1,780;,860;,780;,670;1,330;1,640
590543520100010199;20230126;En. Czynna zbilansowana;,630;,900;,350;,550;,380;,620;,560;,380;,390;,350;,340;,260;,570;1,370;1,400;,400;1,160;,580;,580;1,240;,880;,860;1,060;,630
590543520100010199;20230127;En. Czynna zbilansowana;,980;,540;,370;,380;,380;,400;,370;,510;,270;,990;,140;,140;1,140;2,030;1,880;1,090;1,140;,780;,710;,920;1,150;1,180;1,530;,720
590543520100010199;20230128;En. Czynna zbilansowana;1,420;,590;,500;,460;,520;,460;,590;,700;,800;,440;2,600;2,700;3,200;3,250;2,450;1,520;2,050;1,790;2,400;1,830;2,270;1,840;2,390;1,820
590543520100010199;20230129;En. Czynna zbilansowana;1,140;,490;,480;,470;,490;,560;,910;,490;,420;,230;-,340;-1,130;,160;1,540;,980;,640;,840;1,120;1,320;,920;1,930;1,910;1,700;2,010
590543520100010199;20230130;En. Czynna zbilansowana;1,680;1,240;,660;,900;,440;,790;,660;,850;1,000;,190;,230;,450;,890;3,120;1,720;1,310;1,720;1,640;2,050;1,470;1,300;1,650;1,520;1,830
590543520100010199;20230131;En. Czynna zbilansowana;,790;1,060;,580;,420;,480;,720;,540;,460;,540;-,150;-,330;-,510;-,400;,480;1,280;,850;1,080;1,350;1,660;,940;,490;1,430;1,840;1,690
590543520100010199;20230201;En. Czynna zbilansowana;1,780;,500;,220;,210;,210;,190;,630;,250;-,180;-,770;,300;-,710;-,790;,360;1,550;,530;1,280;1,080;,530;,820;1,600;1,530;1,450;,830
590543520100010199;20230202;En. Czynna zbilansowana;1,190;,660;,610;,600;1,090;,510;,210;,630;-,020;-,050;,080;,030;-,380;,630;1,450;,770;,840;,880;,890;,500;,630;,540;1,230;,960
590543520100010199;20230203;En. Czynna zbilansowana;1,360;,860;,850;,690;,210;,530;,590;,280;,060;-,460;-1,130;-1,240;-1,540;-,260;2,200;,660;,770;,680;,620;1,210;1,220;1,770;1,740;1,890
590543520100010199;20230204;En. Czynna zbilansowana;,890;1,240;,690;,470;,340;,530;,540;,410;,760;,480;,430;,520;-,030;,750;,970;,840;,520;,700;1,200;,380;1,100;1,110;1,320;,520
